year,avg_temp,NYC temp,movavg,movavg,
1855,8.11,9.11,8.074285714,9.217142857,1.142857143
1856,8,8.2,8.077142857,9.127142857,1.05
1857,7.76,8.52,8.057142857,9.044285714,0.987142857
1858,8.1,9.13,8.045714286,9.025714286,0.98
1859,8.25,9.17,8.067142857,9.052857143,0.985714286
1860,7.96,9.18,8.055714286,8.981428571,0.925714286
1861,7.85,9.47,8.004285714,8.968571429,0.964285714
1862,7.56,9,7.925714286,8.952857143,1.027142857
1863,8.11,9.09,7.941428571,9.08,1.138571429
1864,7.98,9.29,7.972857143,9.19,1.217142857
1865,8.18,9.64,7.984285714,9.262857143,1.278571429
1866,8.29,8.95,7.99,9.231428571,1.241428571
1867,8.44,8.59,8.058571429,9.147142857,1.088571429
1868,8.25,7.95,8.115714286,8.93,0.814285714
1869,8.43,8.85,8.24,8.908571429,0.668571429
1870,8.2,10.04,8.252857143,9.044285714,0.791428571
1871,8.12,8.94,8.272857143,8.994285714,0.721428571
1872,8.19,8.61,8.274285714,8.847142857,0.572857143
1873,8.35,8.44,8.282857143,8.774285714,0.491428571
1874,8.43,9.06,8.281428571,8.841428571,0.56
1875,7.86,7.74,8.225714286,8.811428571,0.585714286
1876,8.08,9.35,8.175714286,8.882857143,0.707142857
1877,8.54,10.15,8.224285714,8.898571429,0.674285714
1878,8.83,10.38,8.325714286,9.104285714,0.778571429
1879,8.17,9.37,8.322857143,9.212857143,0.89
1880,8.12,9.99,8.29,9.434285714,1.144285714
1881,8.27,9.77,8.267142857,9.535714286,1.268571429
1882,8.13,9.22,8.305714286,9.747142857,1.441428571
1883,7.98,8.59,8.291428571,9.638571429,1.347142857
1884,7.77,9.36,8.181428571,9.525714286,1.344285714
1885,7.92,8.37,8.051428571,9.238571429,1.187142857
1886,7.95,8.9,8.02,9.171428571,1.151428571
1887,7.91,9.1,7.99,9.044285714,1.054285714
1888,8.09,8.31,7.964285714,8.835714286,0.871428571
1889,8.32,9.86,7.991428571,8.927142857,0.935714286
1890,7.97,9.62,7.99,9.074285714,1.084285714
1891,8.02,10,8.025714286,9.165714286,1.14
1892,8.07,9.15,8.047142857,9.277142857,1.23
1893,8.06,8.68,8.062857143,9.245714286,1.182857143
1894,8.16,9.95,8.098571429,9.367142857,1.268571429
1895,8.15,9.22,8.107142857,9.497142857,1.39
1896,8.21,9.51,8.091428571,9.447142857,1.355714286
1897,8.29,9.63,8.137142857,9.448571429,1.311428571
1898,8.18,10.24,8.16,9.482857143,1.322857143
1899,8.4,9.51,8.207142857,9.534285714,1.327142857
1900,8.5,10.4,8.27,9.78,1.51
1901,8.54,9.29,8.324285714,9.685714286,1.361428571
1902,8.3,9.43,8.345714286,9.715714286,1.37
1903,8.22,9.32,8.347142857,9.688571429,1.341428571
1904,8.09,7.87,8.318571429,9.437142857,1.118571429
1905,8.23,9.1,8.325714286,9.274285714,0.948571429
1906,8.38,9.9,8.322857143,9.33,1.007142857
1907,7.95,8.49,8.244285714,9.057142857,0.812857143
1908,8.19,9.87,8.194285714,9.14,0.945714286
1909,8.18,9.51,8.177142857,9.151428571,0.974285714
1910,8.22,9.55,8.177142857,9.184285714,1.007142857
1911,8.18,9.91,8.19,9.475714286,1.285714286
1912,8.17,9.24,8.181428571,9.495714286,1.314285714
1913,8.3,10.76,8.17,9.618571429,1.448571429
1914,8.59,9.02,8.261428571,9.694285714,1.432857143
1915,8.59,9.85,8.318571429,9.691428571,1.372857143
1916,8.23,9.1,8.325714286,9.632857143,1.307142857
1917,8.02,8.24,8.297142857,9.445714286,1.148571429
1918,8.13,9.51,8.29,9.388571429,1.098571429
1919,8.38,10.05,8.32,9.504285714,1.184285714
1920,8.36,9.19,8.328571429,9.28,0.951428571
1921,8.57,10.91,8.325714286,9.55,1.224285714
1922,8.41,10.04,8.3,9.577142857,1.277142857
1923,8.42,9.51,8.327142857,9.635714286,1.308571429
1924,8.51,8.85,8.397142857,9.722857143,1.325714286
1925,8.53,9.72,8.454285714,9.752857143,1.298571429
1926,8.73,8.54,8.504285714,9.537142857,1.032857143
1927,8.52,9.7,8.527142857,9.61,1.082857143
1928,8.63,9.82,8.535714286,9.454285714,0.918571429
1929,8.24,9.97,8.511428571,9.444285714,0.932857143
1930,8.63,10.22,8.541428571,9.545714286,1.004285714
1931,8.72,11.03,8.571428571,9.857142857,1.285714286
1932,8.71,10.44,8.597142857,9.96,1.362857143
1933,8.34,10.18,8.541428571,10.19428571,1.652857143
1934,8.63,9.48,8.557142857,10.16285714,1.605714286
1935,8.52,9.48,8.541428571,10.11428571,1.572857143
1936,8.55,9.73,8.585714286,10.08,1.494285714
1937,8.7,10.16,8.595714286,10.07142857,1.475714286
1938,8.86,10.42,8.615714286,9.984285714,1.368571429
1939,8.76,10.07,8.622857143,9.931428571,1.308571429
1940,8.76,8.53,8.682857143,9.695714286,1.012857143
1941,8.77,10.19,8.702857143,9.797142857,1.094285714
1942,8.73,9.96,8.732857143,9.865714286,1.132857143
1943,8.76,9.58,8.762857143,9.844285714,1.081428571
1944,8.85,10.01,8.784285714,9.822857143,1.038571429
1945,8.58,9.94,8.744285714,9.754285714,1.01
1946,8.68,10.63,8.732857143,9.834285714,1.101428571
1947,8.8,9.91,8.738571429,10.03142857,1.292857143
1948,8.75,9.83,8.735714286,9.98,1.244285714
1949,8.59,11.39,8.715714286,10.18428571,1.468571429
1950,8.37,9.72,8.66,10.20428571,1.544285714
1951,8.63,10.27,8.628571429,10.24142857,1.612857143
1952,8.64,10.52,8.637142857,10.32428571,1.687142857
1953,8.87,11.17,8.664285714,10.40142857,1.737142857
1954,8.56,10.31,8.63,10.45857143,1.828571429
1955,8.63,10.39,8.612857143,10.53857143,1.925714286
1956,8.28,9.75,8.568571429,10.30428571,1.735714286
1957,8.73,10.5,8.62,10.41571429,1.795714286
1958,8.77,9.16,8.64,10.25714286,1.617142857
1959,8.73,10.77,8.652857143,10.29285714,1.64
1960,8.58,9.76,8.611428571,10.09142857,1.48
1961,8.8,10.03,8.645714286,10.05142857,1.405714286
1962,8.75,9.32,8.662857143,9.898571429,1.235714286
1963,8.86,9.32,8.745714286,9.837142857,1.091428571
1964,8.41,9.96,8.7,9.76,1.06
1965,8.53,9.63,8.665714286,9.827142857,1.161428571
1966,8.6,9.75,8.647142857,9.681428571,1.034285714
1967,8.7,9.3,8.664285714,9.615714286,0.951428571
1968,8.52,9.75,8.624285714,9.575714286,0.951428571
1969,8.6,9.76,8.602857143,9.638571429,1.035714286
1970,8.7,9.77,8.58,9.702857143,1.122857143
1971,8.6,10.01,8.607142857,9.71,1.102857143
1972,8.5,9.49,8.602857143,9.69,1.087142857
1973,8.95,10.96,8.652857143,9.862857143,1.21
1974,8.47,10.08,8.62,9.974285714,1.354285714
1975,8.74,10.56,8.651428571,10.09,1.438571429
1976,8.35,9.53,8.615714286,10.05714286,1.441428571
1977,8.85,9.96,8.637142857,10.08428571,1.447142857
1978,8.69,9.17,8.65,9.964285714,1.314285714
1979,8.73,10.02,8.682857143,10.04,1.357142857
1980,8.98,9.86,8.687142857,9.882857143,1.195714286
1981,9.17,9.95,8.787142857,9.864285714,1.077142857
1982,8.64,9.78,8.772857143,9.752857143,0.98
1983,9.03,10.51,8.87,9.892857143,1.022857143
1984,8.69,10.26,8.847142857,9.935714286,1.088571429
1985,8.66,10.26,8.842857143,10.09142857,1.248571429
1986,8.83,10.15,8.857142857,10.11,1.252857143
1987,8.99,10.32,8.858571429,10.17571429,1.317142857
1988,9.2,9.93,8.862857143,10.17285714,1.31
1989,8.92,9.66,8.902857143,10.15571429,1.252857143
1990,9.23,11.32,8.931428571,10.27142857,1.34
1991,9.18,11.36,9.001428571,10.42857143,1.427142857
1992,8.84,9.57,9.027142857,10.33,1.302857143
1993,8.87,10.04,9.032857143,10.31428571,1.281428571
1994,9.04,10,9.04,10.26857143,1.228571429
1995,9.35,10.24,9.061428571,10.31285714,1.251428571
1996,9.04,9.81,9.078571429,10.33428571,1.255714286
1997,9.2,10,9.074285714,10.14571429,1.071428571
1998,9.52,11.82,9.122857143,10.21142857,1.088571429
1999,9.29,11.16,9.187142857,10.43857143,1.251428571
2000,9.2,9.97,9.234285714,10.42857143,1.194285714
2001,9.41,10.93,9.287142857,10.56142857,1.274285714
2002,9.57,11.25,9.318571429,10.70571429,1.387142857
2003,9.53,9.84,9.388571429,10.71,1.321428571
2004,9.32,10.39,9.405714286,10.76571429,1.36
